sentence,main_mountain,mentioned_mountains
"Ritacuba Blanco is the highest peak of Cordillera Oriental, in the Andes Mountains of Colombia.",ritacuba blanco,['ritacuba blanco']
"It's also named Ritak'uwa, an ancient name from the U'wa indigenous people that live in the lowlands of the National Park Sierra Nevada del Cocuy y Güicán, where the Ritacuba Blanco is located.",ritacuba blanco,['ritacuba blanco']
"'Haba Snow Mountain') is a mountain rising above the northwest side of Tiger Leaping Gorge in Yunnan, China.",api,['api']
"The summit of the mountain is a popular destination for amateur mountaineers and its lowest slopes are crossed by the popular Tiger Leaping Gorge trail.
The Haba Snow Mountain massif",api,['api']
"Nevado del Ruiz (Spanish pronunciation: [neβaðo ðel ˈrwis]), also known as La Mesa de Herveo (English: Mesa of Herveo, the name of the nearby town) is a volcano on the border of the departments of Caldas and Tolima in Colombia, being the highest point of both.",nevado del ruiz,['nevado del ruiz']
It is located about 130 km (81 mi) west of the capital city Bogotá.,nevado del ruiz,['api']
Volcanic activity at Nevado del Ruiz began about ,nevado del ruiz,['nevado del ruiz']
"Nevado del Huila (, Spanish pronunciation: [neˈβaðo ðel ˈwila]) at 5,364 metres (17,598 ft), is the highest volcano in Colombia, located at the tripoint of the departments of Huila, Tolima and Cauca.",nevado del huila,['nevado del huila']
"El Altar or Capac Urcu (possibly from Kichwa kapak principal, great, important / magnificence, urku mountain) is an extinct volcano on the western side of Sangay National Park in Ecuador, 170 km (110 mi) south of Quito, with a highest point of 5,319 m (17,451 ft).",el altar,"['el altar', 'sangay']"
"In older English sources it is also called The Altar.

Geology
El Altar consists of a large stratovolcano of Pliocene-Plei",el altar,['el altar']
"Mount Foraker is a 17,400-foot (5,304 m) mountain in the central Alaska Range, in Denali National Park, 14 mi (23 km) southwest of Denali.",dena,"['mount foraker', 'dena']"
"It rises almost directly above the standard base camp for Denali, on a fork of the Kahiltna Glacier also near Mount Hunter in the Alaska Range.
Its north peak was first climbed on August 6, 1934, and its higher south peak was climbed four days later on August 1",dena,"['dena', 'mount hunter']"
"The Nevado del Tolima is a Late Pleistocene to recently active andesitic stratovolcano located in the Tolima department, Colombia.",nevado del tolima,['nevado del tolima']
The volcano lies south of Nevado del Ruiz volcano and is situated within the Los Nevados National Natural Park.,nevado del tolima,['nevado del ruiz']
"The volcano, whose most recent activity dates to 1943 and last major eruption around 3600 years ago, overlies the Eocene El Bosque Batholith, dated at 49.1 ± 1.7 Ma.

Geography and geology
The steep-sided, glacier-clad Nevado del Tolima volcano contrasts wi",nevado del tolima,['nevado del tolima']
"Maipo may refer to:

Maipo, Chile, a town in Buin, Chile
San José de Maipo, a town in Chile
Maipo (volcano), a volcano on the border of Argentina and Chile
Maipo River, the river that rises on the west slope Maipo volcano and flows through the Santiago Metropolitan Region of Chile
Maipo Province, a province in the Santiago Metropolitan Region of Chile
Maipo Island
Maipo Valley
MS Maipo, an Argentine cruise ship rammed and sunk by USNS General M.",maipo,"['san josé', 'maipo']"
"The Illinizas are a pair of volcanic mountains that are located in the north of Latacunga, Cotopaxi, Ecuador.",illiniza,"['cotopaxi', 'illiniza']"
They are located in the Illinizas Ecological Reserve (Spanish: Reserva Ecológica Los Illinizas).,illiniza,['illiniza']
"The peaks are among the highest in Ecuador, with Illiniza Sur standing slightly taller than Illiniza Norte, its northern counterpart, at 5245 metres and 5126 metres respectively.
Most guidebooks (for example, Lonel",illiniza,['illiniza']
"Point 5240 (also called Point 5245) is a mountain peak situated on the Line of Control, the de facto border dividing the Indian- and Pakistani-administered portions of Ladakh in the Dras sector of Kargil district.",point 5240,['point 5240']
"Sirbal Peak is a mountain with a peak elevation of 5,235 metres (17,175 ft), in the Ganderbal district of the Indian union territory of Jammu and Kashmir, in the vicinity of Sonamarg.",sirbal peak,['sirbal peak']
"Sirbal Peak is part of the Himalaya Range, and is located between Sonamarg and Baltal.",sirbal peak,['sirbal peak']
Sirbal Peak lies 6 km west of Zojila.,sirbal peak,['sirbal peak']
"Sangay (also known as Macas, Sanagay, or Sangai) is an active stratovolcano in central Ecuador.",sangay,['sangay']
"Geologically, Sangay marks the southern boundary of the Northern Volcanic Zone, and its position straddling two major pieces of crust accounts for its high level of activity.",sangay,['sangay']
"Sangay's approximately 500,000-year-old history is one of instability; two previous versions of the mountain were destroyed in massive flank collapses, evidence of which still litters its ",sangay,['sangay']
"Iztaccíhuatl or Ixtaccíhuatl (both forms also spelled without the accent) (Nahuatl pronunciation: [istakˈsiwat͡ɬ]  or, as spelled with the x, [iʃtakˈsiwat͡ɬ]) is a 5,230 m (17,160 ft) dormant volcanic mountain in Mexico located on the border between the State of Mexico and Puebla within Izta-Popo Zoquiapan National Park.",iztaccíhuatl,['iztaccíhuatl']
"It is the nation's third highest, after Pico de Orizaba at 5,636 m (18,491 ft), and Popocatépetl at 5,426 m (17,802 ft).
The name ""Iztaccíhuatl"" is Nahuatl for ""White (like salt",iztaccíhuatl,"['pico de orizaba', 'popocatépetl', 'iztaccíhuatl']"
"Mount Lucania in Yukon is the third-highest mountain in Canada (5240 metres), and the second-highest mountain located entirely within the country (the summit of Mount Saint Elias, Canada's second highest peak, is shared with the US state of Alaska).",mount saint elias,"['mount saint elias', 'mount lucania']"
"A long ridge connects Mount Lucania with Mount Steele (5,073 metres [16,644 feet]), the fifth-highest in Canada.",mount saint elias,"['mount lucania', 'mount steele']"
"Lucania was named by the Duke of Abruzzi, as he stood on the summit of Mount Saint Elias on July 31, 1897, having just completed the firs",mount saint elias,['mount saint elias']
"Karakol Peak (Russian: Пик Каракол, romanized: Pik Karakol, Kyrgyz: Каракол чокусу, romanized: Karakol çokusu) is a mountain in the Terskey Ala-too of the Tian Shan.",karakol peak,['karakol peak']
"It is located in the Issyk-Kul Region in east Kyrgyzstan.
Karakol Peak is a prominent mountain located in the Terskey Alatau range of the Tian Shan Mountains in Kyrgyzstan.",karakol peak,['karakol peak']
"Dykh-Tau or Dykhtau (Russian: Дыхтау, Karachay-Balkar: Дых тау that is derived from Turkic ""dik dagh"" which means Jagged Mount), is the second-highest mountain in Russia and Europe, standing at 5,205 m (17,077 ft) above sea level.",dykh-tau,['dykh-tau']
"It is located in Kabardino-Balkaria, Russia; its peak standing about 5 km (3 mi) north of the border with Georgia.

Access
Dykh-Tau is best accessed from the north (Russia).",dykh-tau,['dykh-tau']
Shkhara (Georgian: შხარა) is the highest point in the country of Georgia.,shkhara,['shkhara']
Shkhara is the highest peak of the Greater Caucasus Mountain Range since both Elbrus and Dykhtau are located along the side ranges which lie to the north of the Greater Caucasus Range.,shkhara,['shkhara']
"Shkhara lies 88 kilometres (55 mi) north of the city of Kutaisi, Georgia's second-lar",shkhara,['shkhara']
"Mount Kenya (Meru: Kĩrĩmaara, Kikuyu: Kĩrĩnyaga, Kamba: Ki nyaa, Embu: Kĩ nyaga) is an extinct volcano in Kenya and the second-highest peak in Africa, after Kilimanjaro.",mount kenya,['mount kenya']
"Mount Kenya is located in the former Eastern and Central provinces of Kenya; its peak is now the intersection of Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties, about 16.5 kilom",mount kenya,['mount kenya']
Malika Parbat (Urdu: ملکہ پربت; Queen of the Mountains) (el.,malika parbat,['malika parbat']
Malika Parbat is accessible from Naran-Lake Saiful Muluk side and from Batakundi-Dadar Chitta glacier.,malika parbat,['malika parbat']
"Amarnath Peak is a mountain with a peak elevation of 5,186 metres (17,014 ft), in the Ganderbal district of the Indian union territory of Jammu and Kashmir, in the vicinity of Sonamarg.",amarnath peak,['amarnath peak']
"Amarnath Peak is part of the Himalayas, and is located south of Zojila and west of Machoi Glacier.",amarnath peak,['amarnath peak']
"King Peak may refer to several places:

King Peak (Antarctica)
King Peak (British Columbia), Canada
King Peak (Yukon), Canada
King Peak (California), United States
King Peak (Nevada), United States

See also
Storm King Peak, in the Needle Mountains, Colorado, United States
Silver King Peak (disambiguation)
Kings Peak (disambiguation)
Mount King (disambiguation)",king peak,"['king peak', 'kings peak']"
"Boris Yeltsin Peak (Russian: Пик Бориса Ельцина, romanized: Pik Borisa Yel'tsina, Kyrgyz: Огуз-Баши, romanized: Oguz-Bashi) is a mountain in the Terskey Ala-too range of the Tian Shan.",boris yeltsin peak,['boris yeltsin peak']
"Its previous name was Oguz-Bashi.

See also
Vladimir Putin Peak (Kyrgyzstan) - named in 2011 for the second president of the Russian Federation Vladimir Putin.

References
External links
",boris yeltsin peak,['vladimir putin peak']
"Koshtan-Tau (Russian: Коштан-тау; Karachay-Balkar: Къоштан-тау, means paired mountain) is the highest peak (5,144m) of the Koshtan massif of the central Caucasus Mountains in the Kabardino-Balkaria Republic of Russia, near the border with Georgia.",koshtan-tau,['koshtan-tau']
"Mount Ararat (, ARR-ə-rat; Armenian: Արարատ, romanized: Ararat [ɑɾɑˈɾɑt] ) or Mount Ağrı (Turkish: Ağrı Dağı; Kurdish: Çiyayê Agirî) is a snow-capped and dormant compound volcano in Eastern Turkey.",mount ararat,['mount ararat']
"Mount Stanley or Mount Ngaliema (, also US: , UK: ) is a mountain located in the Rwenzori range.",mount stanley,['mount stanley']
"With an elevation of 5,109 m (16,763 ft), it is the highest mountain of both the Democratic Republic of the Congo and Uganda, and the third highest in Africa, after Kilimanjaro (5,895 m) and Mount Kenya (5,199 m).",mount stanley,['mount kenya']
Mount Stanley is named for the journalist and explorer Sir Henry Morton Stanley.,mount stanley,['mount stanley']
"Tami Razi (Burmese: တမီး ရာဇီ) is one of Burma's highest mountains, and with its height of 5,101 m (16,736 ft) and one of the highest mountains in South East Asia.",tami razi,['tami razi']
Mount Steele is the fifth-highest mountain in Canada and either the tenth- or eleventh-highest peak in North America.,mount steele,['mount steele']
"Steele stands at 4,300 m (14,100 ft).
It was named after Sir Sam Steele, the North-West Mounted Police officer in charge of the force in the Yukon during the Klondike Gold Rush.

Elevation
Mount Steele's exact elevation is uncertain.",mount steele,['mount steele']
"Janga may refer to:

People
Janga Augustus Kowo (born 1974), Liberian politician
Chendupatla Janga Reddy (born 1935), Indian politician
Rangelo Janga (born 1992), Curaçaoan footballer
Rilove Janga (born 1987), Bonairean footballer

Places
Janga, a district in Paulista, Brazil
Janga (mountain), a summit in the Greater Caucasus Mountain Range
Janga, Kerman, a village in Kerman Province, Iran
Janga, Tanzania, a ward in Pwani Region
Türkmenbaşy şäherçesi, a town in Turkmenistan known as Janga until ",janga,['janga']
"Mount Kazbek or Mount Kazbegi is a dormant stratovolcano and one of the major mountains of the Caucasus, located in Georgia, just south of the border with Russia.
Lying at 5,054 meters (16,581 ft) above at sea level, Mount Kazbek is the highest mountain in Eastern Georgia.",mount kazbek,['mount kazbek']
It is also the third-highest peak in the country (after Mount Shkhara and Janga).,mount kazbek,"['shkhara', 'janga']"
"Kazbegi is the second-highest volcanic summit in the Caucasus, after Mount Elbrus.",mount kazbek,['mount elbrus']
"Tungurahua (; from Quichua tunguri (throat) and rahua (fire), ""Throat of Fire"") is an active stratovolcano located in the Cordillera Oriental of Ecuador.",tungurahua,['tungurahua']
The volcano gives its name to the province of Tungurahua.,tungurahua,['tungurahua']
"Volcanic activity restarted on August 19, 1999, and is ongoing as of 2023, with several eruptive episodes since then, the most recent lasting from February 26 to March 16, 2016.

Etymology
According to one theory the name Tungurahua is a combination of the Quichua tunguri (throat) and ra",tungurahua,['tungurahua']
"Mount Carihuairazo (also Carihuayrazo) is an eroded stratovolcano neighboured by Ecuador's highest mountain Chimborazo.

Geography
Location
Carihuairazo is located in the Cordillera Occidental of the Andes of central Ecuador, 150 km (93 mi) south-southwest of the capital Quito.",carihuairazo,"['api', 'chimborazo', 'carihuairazo']"
"Its neighboured by 6,263 m high Chimborazo.",carihuairazo,['chimborazo']
Carihuairazo's 1.5 km wide heavy eroded calde,carihuairazo,['carihuairazo']
"Mount Bona is one of the major mountains of the Saint Elias Mountains in eastern Alaska, and is the fifth-highest independent peak in the United States.",mount bona,['mount bona']
Mount Bona and its adjacent neighbor Mount Churchill are both large ice-covered stratovolcanoes.,mount bona,"['mount bona', 'mount churchill']"
Mount Blackburn (Ahtna: K’ats’i Tl’aadi) is the highest peak in the Wrangell Mountains of Alaska in the United States.,mount bona,['mount blackburn']
behind Mount Bona and the fifth-highest in North America.,mount bona,['mount bona']
"Pico Bolívar is the highest mountain in Venezuela, at 4,978 metres (16,332 ft).",pico bolívar,['pico bolívar']
From there it is possible to climb to Pico Bolívar.,pico bolívar,['pico bolívar']
"The peak is named after the Venezuelan independence hero Simón Bolívar.
The Pico Bolívar is located on the mountain previously called La Columna, next to El León (4,743 m) and El Toro ",pico bolívar,['pico bolívar']
"Due to its close proximity to the former capital of Kazakhstan, Almaty, it is a popular mountaineering destination.",api,['api']
"Shota Rustaveli (officially known as the Shota Rustaveli Peak) (Georgian: შოთა რუსთაველის მწვერვალი) is a mountain in the central part of the Greater Caucasus Mountain Range, straddling the border of Svaneti (Georgia) and Kabardino-Balkaria (Russia).",shota rustaveli peak,['shota rustaveli peak']
"Mount Sanford may refer to:

Mount Sanford (Alaska), a shield volcano in the Wrangell Volcanic Field, in eastern Alaska near the Copper River
Mount Sanford (British Columbia), a mountain in northwestern British Columbia
Mount Sanford (Connecticut), a mountain peak of the Metacomet Ridge in south-central Connecticut",mount sanford,['mount sanford']
"Pico Humboldt is Venezuela's second highest peak, at 4,925 metres above sea level.",pico humboldt,['pico humboldt']
"The peak, its sister peak Pico Bonpland, and the surrounding páramos are protected by the Sierra Nevada National Park.",pico humboldt,['pico bonpland']
Vinson Massif () is a large mountain massif in Antarctica that is 21 km (13 mi) long and 13 km (8 mi) wide and lies within the Sentinel Range of the Ellsworth Mountains.,vinson massif,['vinson massif']
Vinson Massif was discovered in January 1958 by U.S.,vinson massif,['vinson massif']
"In 1961, the Vinson Massif was named by the Advisory Committee on Antarctic Names (US-ACAN), after Carl G.",vinson massif,['vinson massif']
"Pico Bonpland is Venezuela's fourth-highest peak, at 4,883 metres above sea level.",pico humboldt,['pico bonpland']
"The peak with its sister peak Pico Humboldt, and the surrounding páramos are protected by the Sierra Nevada National Park.",pico humboldt,['pico humboldt']
"Puncak Jaya (Indonesian: [ˈpuntʃak ˈdʒaja]; literally ""Glorious Peak"", Amungme: Nemangkawi Ninggok) or Carstensz Pyramid (, Indonesian: Piramida Carstensz, Dutch: Carstenszpiramide) on the island of New Guinea, with an elevation of 4,884 m (16,024 ft), is the highest mountain peak of an island on Earth, and the highest peak in Indonesia.",puncak jaya,['puncak jaya']
Puncak Jaya is ranked 5th in the world by topographi,puncak jaya,['puncak jaya']
Pico La Concha is a mountain in the Andes of Venezuela.,pico la concha,['pico la concha']
Gistola (Georgian: გისტოლა) is a peak in the central part of the Greater Caucasus Mountain Range on Georgia–Russia border.,gistola,['gistola']
"The slopes of Gistola are covered with ice.

See also
Adishi Glacier

References
Sources
Georgian State (Soviet) Encyclopedia.",gistola,['gistola']
"Tetnuldi (Georgian: თეთნულდი) is a prominent peak in the central part of the Greater Caucasus Mountain Range, located in the Svaneti region of Georgia.",tetnuldi,['tetnuldi']
"According to most sources, Tetnuldi is the 10th highest peak of the Caucasus.",tetnuldi,['tetnuldi']
"Mount Tyree (4852m) is the second highest mountain of Antarctica located 13 kilometres northwest of Mount Vinson (4,892 m), the highest peak on the continent.",mount tyree,['mount tyree']
Huaynaputina ( WY-nə-puu-TEE-nə; Spanish: [wajnapuˈtina]) is a volcano in a volcanic high plateau in southern Peru.,huaynaputina,['huaynaputina']
"Huaynaputina is a large volcanic crater, lacking an identifiable mountain profile, with an outer stratovolcano and three younger volcanic vents within an amphitheatre-shaped structure that is either a former caldera or a remnant of ",huaynaputina,['huaynaputina']
"With an elevation of 4,828 meters, it is the second-highest peak in Iran after Mount Damavand.

Climbing history
The first recorded ascent of the peak was made from Hazarchal over the south face by the German Bornmüller brothers during their six-month botanic",mount damavand,['mount damavand']
"Mount Wood may refer to:

Mount Wood (Palmer Land), Antarctica
Mount Wood (Victoria Land), Antarctica
Mount Wood (New South Wales), in Sturt National Park, Australia
Mount Wood (Yukon), Canada
Mount Wood (Occidental Mindoro), Philippines
Mount Wood (California), US
Mount Wood (Montana), US

See also
Mount Woods
Wood Mountain (disambiguation)",mount wood,['mount wood']
Mount Vancouver is the 15th highest mountain in North America.,mount vancouver,['mount vancouver']
"Mount Vancouver has three summits: north, middle, and south, with the middle summit being the lowest.",mount vancouver,['mount vancouver']
"Sabalan or Savalan (native: ساوالان[sævæ'lɒːn]) is an inactive stratovolcano in northwestern Iran located in Ardabil province.
At 4,794 metres (15,728 ft) above sea level, it is the third-highest mountain in Iran.",sabalan,['sabalan']
"Mont Blanc (BrE: ; AmE: ) is the highest mountain in the Alps and Western Europe, and the highest mountain in Europe outside the Caucasus Mountains, rising 4,805.59 m (15,766 ft) above sea level, located on the Franco-Italian border.",mont blanc,['mont blanc']
"It is the second-most prominent mountain in Europe, after Mount Elbrus, and the 11th most prominent mountain in the world.
It gives its name to the Mont Blanc massif, which straddles parts of France, Italy and Switzerland.",mont blanc,"['mount elbrus', 'mont blanc']"
Mont Blanc's summit lies on the watershed l,mont blanc,['mont blanc']
"Corazón (Spanish ""heart"") may refer to:

Film and TV
Corazón (film), a 1947 Argentine film
Corazon, an episode from season 6, of Criminal Minds
Corazon, the alias of a minor character in the manga series One Piece

Music
Albums
Corazón (Ednita Nazario album), 1999
Corazón (Fonseca album), 2005
Corazón (Santana album), 2014
Corazones, album by Los Prisioneros, 1990

Songs
""Corazón"" (Claudia Leitte song), 2015
""Corazón"" (Ricky Martin song), 1997
""Corazón"" (Maluma song), 2017
""Corazon"", a song by B",corazón,['corazón']
"Pichincha may refer to:
Argentina

Pichincha, Buenos Aires underground
Pichincha, a barrio in the city of Rosario, province of Santa Fe
Ecuador

Pichincha Volcano, a stratovolcano northern part of the country
Pichincha Province, in northern Sierra region around the volcano
Pichincha Canton in Manabí Province
Pichincha, the capital of Pichincha Canton

See also
Battle of Pichincha, 1822, in modern Ecuador",pichincha,"['api', 'pichincha']"
"Jimara may refer to:

Mount Jimara, or Dzhimara, a mountain in Russia and Georgia
Jimara, Georgia, a village in the historical region of Khevi, Georgia
Jimara (leafhopper), an insect genus in the tribe Dikraneurini
Jimara (constituency), a constituency in the Gambia; see List of NAMs elected in the 2022 Gambian parliamentary election",jimara,['jimara']
Mount Churchill is a dormant volcano in the Saint Elias Mountains and the Wrangell Volcanic Field (WVF) of eastern Alaska.,mount bona,['mount churchill']
Churchill and its neighbor Mount Bona are both ice-covered volcanoes with Churchill having a 2.7-by-4.2-kilometre-wide (1.7 mi × 2.6 mi) caldera just east of its summit.,mount bona,['mount bona']
"Puncak Mandala or Mandala Peak (until 1963 Julianatop or Juliana Peak) is a mountain located in Highland Papua, Indonesia.",puncak jaya,['puncak mandala']
"Following Puncak Jaya/Mount Carstensz (4884 m) 350 km to the west, Mandala is the second-highest freestanding mountain in Oceania, Australasia, New Guinea, and Indonesia.

Etymology
Locally, the mountain peak is called Aplim Apom, a holy place where ",puncak jaya,"['puncak jaya', 'apo']"
"Klyuchevskaya Sopka (Russian: Ключевская сопка; also known as Klyuchevskoi, Russian: Ключевской) is a stratovolcano, the highest mountain of Siberia and the highest active volcano of Eurasia.",klyuchevskaya sopka,['klyuchevskaya sopka']
"Klyuchevskaya Sopka is ranked 15th in the world by topographic isolation.
Klyuchevskaya appeared 7,000 years ago.",klyuchevskaya sopka,['klyuchevskaya sopka']
"Puncak Trikora (literally ""Peak [[Operation  People's Tri-Commando"") is a 4,730 or 4,750-metre-high (15,584 ft) mountain in the Highland Papua province of Indonesia on New Guinea.",puncak jaya,['puncak trikora']
"It lies in the eastern part of the Sudirman (Nassau) Range of the Maoke Mountains.
Behind Puncak Jaya (Carstensz Pyramid) at 4,884 m (16,024 ft), it is either the second or third highest mountain on the island of New Guinea and the Australasian continent.",puncak jaya,['puncak jaya']
"Mont Blanc de Courmayeur  (French: [mɔ̃ blɑ̃ də kuʁmajœʁ]; Italian: Monte Bianco di Courmayeur) is a point (4,748 m (15,577 ft)) on the south-east ridge of Mont Blanc that forms the peak of the massive south-east face of the mountain.",mont blanc,"['mont blanc', 'mont blanc de courmayeur']"
"Sunset Peak may refer to:

Sunset Peak (Alaska) in Alaska, United States
Sunset Peak (Hong Kong)
Sunset Peak (Jammu and Kashmir) in Jammu and Kashmir
Sunset Peak (Park County, Montana) in Montana, United States
Sunset Peak (New Brunswick) in New Brunswick, Canada
Sunset Peak (Snowcrest Range) in Montana, United States
Sunset Peak (Utah), in the Wasatch Range, United States",sunset peak,['sunset peak']
"Mount Slaggard is the tenth highest peak in Canada and is located in Kluane National Park and Reserve.

See also
List of mountain peaks of North America
Mountain peaks of Canada

References
Mt.",mount slaggard,['mount slaggard']
"The Pico Piedras Blancas (also known as Misamán), at 4,737 metres (15,541 ft), is the highest mountain of the Sierra de la Culata range in the Mérida State, and the fifth-highest mountain in Venezuela.",pico piedras blancas,['pico piedras blancas']
"Its name, meaning ""White Stones"", is of uncertain origin, since the massif is predominantly grey in color.",pico piedras blancas,['dom']
"Pico Piedras Blancas lacks glaciers; however, seasonal snowfalls may briefly cover its flanks.",pico piedras blancas,['pico piedras blancas']
Pico El Toro is a mountain in the Andes of Venezuela.,pico el toro,['pico el toro']
"The other higher peak of this range is Sunset Peak at 4,750 m (15,580 feet).",sunset peak,['sunset peak']
"Tatakooti, along with Sunset Peak, lies south west of the Kashmir valley.",sunset peak,['sunset peak']
"Rumiñawi (Quechua for ""stone eye"", ""stone face"", ""rock eye"" or ""rock face"") may refer to:

Rumiñahui Canton
Rumiñawi (Inca warrior)
Rumiñawi (volcano)",rumiñahui,['rumiñahui']
Ushba (Georgian: უშბა) is one of the most notable peaks of the Caucasus Mountains.,ushba,['ushba']
"Although it does not rank in the 10 highest peaks of the range, Ushba is known as the ""Matterhorn of the Caucasus"" for its picturesque, spire-shaped double summit.",ushba,"['ushba', 'matterhorn']"
"Ushba is considered by many climbers as the most difficult ascent in the Caucasus.
In Georgian mythology, Ushba was thought to be the",ushba,['ushba']
"Naltar Peak (Urdu: نلتر چوٹی) is a mountain of the Karakoram range in Naltar Valley in the Gilgit District of Gilgit-Baltistan, Pakistan.",mehrbani peak,['naltar peak']
"It lies to the southeast of Mehrbani Peak (5,639 m).

References
External links
Northern Pakistan detailed placemarks in Google Earth",mehrbani peak,['mehrbani peak']
"Mount Fairweather (or Tsalxaan in the Tlingit language) is 20 km (12 mi) east of the Pacific Ocean on the Canada–United States border between Alaska and western British Columbia and has an elevation of 4,653 metres (15,266 ft).",mount fairweather,['mount fairweather']
Pico Mucuñuque is a mountain in the Andes of Venezuela.,pico mucuñuque,['pico mucuñuque']
"Khazret Sultan (Uzbek: Hazrati Sulton choʻqqisi) is a mountain considered to be the highest point of Uzbekistan, with an elevation of 4,643 metres (15,233 ft).
The mountain is located on the border of Uzbekistan's Surkhondaryo Region and Tajikistan's Sughd Region, in the Gissar Range.",khazret sultan,['khazret sultan']
"Sierra Negra (also, and perhaps more properly, Cerro La Negra) is an extinct volcano located in the Mexican state of Puebla, close to the border with Veracruz.",sierra negra,['sierra negra']
"Sierra Negra is overshadowed by nearby Pico de Orizaba (5,610 m/18,406 ft).

Overview
Sierra Negra is located within the Pico de Orizaba National Park.",sierra negra,"['pico de orizaba', 'sierra negra']"
Mount Hubbard is one of the major mountains of the Saint Elias Range.,mount hubbard,['mount hubbard']
"Nevado de Toluca (Spanish: [neˈβaðo ðe toˈluka] ) is a stratovolcano in central Mexico, located about 80 kilometres (50 mi) west of Mexico City near the city of Toluca.",pico de orizaba,['nevado de toluca']
"It is the fourth highest of Mexico's peaks, after Pico de Orizaba, Popocatépetl and Iztaccíhuatl.",pico de orizaba,"['pico de orizaba', 'popocatépetl', 'iztaccíhuatl']"
"Mount Meru (Sanskrit/Pali: मेरु)—also known as Sumeru, Sineru or Mahāmeru—is a sacred, five-peaked mountain present within Hindu, Jainand Buddhist cosmologies, revered as the centre of all  physical, metaphysical and spiritual universes.",mount meru,['mount meru']
"Despite not having a clearly identified or known geophysical location, Mount Meru is, nevertheless, always thoug",mount meru,['mount meru']
"Dom or DOM may refer to:

People and fictional characters
Dom (given name), including fictional characters
Dom (surname)
Dom La Nena (born 1989), stage name of Brazilian-born cellist, singer and songwriter Dominique Pinto
Dom people, an ethnic group in the Middle East and North Africa
Dom (caste) or Domba, an ethnic group in India

Arts and entertainment
Dom (film), a 1958 Polish film
DOM (album), a 2012 album by German singer Joachim Witt
DOM (band), a pop/electronic solo musical project by Dom",dom,['dom']
Ras Dashen (Amharic: ራስ ዳሸን rās dāshn) or Ras Dejen (Amharic: ራስ ደጀን) is the highest mountain in Ethiopia.,ras dashen,['ras dashen']
"Located in the Simien Mountains National Park in the North Gondar Zone of the Amhara Region, it reaches an elevation of 4,550 metres (14,930 ft).
The English form ""Ras Dashen"" is a corruption of its Amharic name, ""Ras Dejen"", the term used by the Ethiopian Mapping Authority (EMA) that alludes to the traditional head or general who fights in front of the Emperor.

Overview
According to Erik ",ras dashen,['ras dashen']
"Mount Bear is a high, glaciated peak in the Saint Elias Mountains of Alaska.",mount bear,['mount bear']
"Its principal claim to fame is that it is a fourteener, and in fact one of the highest 20 peaks in the United States.
Despite its height, Mount Bear is a little-visited peak, being surrounded by higher and better-known peaks ",mount bear,['mount bear']
"Mount Wilhelm (German: Wilhelmsberg) is the highest mountain in Papua New Guinea at 4,509 metres (14,793 ft).",puncak jaya,['mount wilhelm']
"It is surpassed by Puncak Jaya, 4,884 m (16,024 ft), and sever",puncak jaya,['puncak jaya']
Mount Karisimbi a stratovolcano in the Virunga Mountains on the border between Rwanda and the Democratic Republic of Congo.,mount karisimbi,['mount karisimbi']
"Mount Walsh is a mountain in Kluane National Park and Reserve in Yukon, Canada.
The peak was named after a RCMP superintendent for the Yukon Territory, James Morrow Walsh.

See also
List of mountain peaks of North America
List of mountain peaks of Canada

References


== External links ==",mount walsh,['mount walsh']
"Belukha Mountain (; Russian: Белуха, IPA: [bʲɪˈɫuxəl], also known as Beluga Mountain, Icemount Peak (Kazakh: Мұзтау Шыңы / Mūztau Şyñy [mʊsˈtɑw ʃəˈŋə]), or The Three Peaks (Altay: Ӱч-Сӱмер / Üç-Sümer [ʏc͡ç sʏˈmer]), is the highest peak of the Altai Mountains in Russia and the highest of the South Siberian Mountains system.",belukha mountain,['belukha mountain']
"The Weisshorn (German, lit.",weisshorn,['weisshorn']
"In the latter valley, the Weisshorn is one of the many 4000ers surrounding Zermatt, with Monte Rosa and the Matterhorn.
The Weisshorn was first climbed in 1861 from Randa by the Irish physicist John Tyndall, accompanied by the guid",weisshorn,"['weisshorn', 'matterhorn']"
"Tebulosmta (Chechen: Тӏуьйли-лам, romanized: Thüyli-lam, IPA [tʼyːlɪ lɑːm]; Georgian: ტებულოს მთა, Tebulos mta; Russian: Тебулосмта) is the highest mountain of the Eastern Caucasus and the highest mountain of the Chechen Republic at an elevation of 4,493 meters (14,737 feet) above sea level.",mount kazbek,['tebulosmta']
The mountain is located on the border of Georgia and Chechnya to the east of Mount Kazbek.,mount kazbek,['mount kazbek']
"The Täschhorn (4,491 metres (14,734 ft)) is a mountain in the Pennine range of the Alps in Switzerland.",dom,['täschhorn']
"It lies immediately north of the Alphubel, and south of the Dom within the Mischabel range, and is very similar in shape to the Dom when seen from the upper Zermatt valley.: ",dom,"['dom', 'alphubel']"
"The Matterhorn (German: [ˈmatɐˌhɔʁn] , Swiss Standard German: [ˈmatərˌhɔrn]; Italian: Cervino [tʃerˈviːno]; French: Cervin [sɛʁvɛ̃]; Romansh: Mont(e) Cervin(u) or Matterhorn [mɐˈtɛrorn]) is a mountain of the Alps, straddling the main watershed and border between Italy and Switzerland.",matterhorn,['matterhorn']
