sentence,label
highest point 1950 Jim Maxwell Dave northern peak (Yerupajá Wellingtonia,O O O O O O O O B-MOUNTAIN O
"Nevado Tres Cruces Central summit extinct range (Chile). summit, Tres Cruces massif, 6629 sea level, topographic prominence nearly relation main south",B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O O O O
Thamserku mountain Himalayas,B-MOUNTAIN O O
connected ridge eastward Kangtega.,O O O B-MOUNTAIN
"Thamserku prominent east Namche lies Kusum Kangguru. ascent made Edmund Hillary's Schoolhouse Lynn Crawford, Pete Richard",B-MOUNTAIN O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Geladaindong Peak (also spelled Kolha snow-covered (or located Southwestern near Autonomous Region.,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O
"Incahuasi pronunciation: [iŋkaˈwasi]; Quechua: Inca, wasi house) volcanic",B-MOUNTAIN O O O O O O O
"Incahuasi 6,621 level. consists 3.5-kilometre-wide mi) caldera two stratovolcanoes.",B-MOUNTAIN O O O O O O O O
"Pangpoche, Panpoche Himalayas Nepal.",B-MOUNTAIN O O O
"6,620 metres (21,720 sea level 15 kilometres world's mountain, Manaslu metres (26,781",O O O O O O O O O B-MOUNTAIN O O
"ridge Pangpoche 1.5 kilometers located Pangpoche 6,504",O B-MOUNTAIN O O O B-MOUNTAIN O
Manirang one mountains Himachal Pradesh.,B-MOUNTAIN O O O O
"Close peak Manirang pass, one routes Spiti road",O O B-MOUNTAIN O O O O O
"Phuparash Peak Hispar Valley Gilgit–Baltistan, Pakistan.",B-MOUNTAIN I-MOUNTAIN O O O O
"Sickle Moon Peak Bharanzar Peak 21,568 located highest summit",B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O
"Tupungato, one mountains massive dome Pleistocene times.",B-MOUNTAIN O O O O O O
"lies border, major international highway (50 east Santiago) province 100 (62 south Aconcagua, highest Southern hemispheres.",O O O O O O O O O O O O B-MOUNTAIN O O O
Buni Zom group prominent area Raj range,B-MOUNTAIN I-MOUNTAIN O O O O O
"Buni Zom (main) peak group (21,463",B-MOUNTAIN I-MOUNTAIN O O O O
"located town 50 km (30 mi) east Tirich Mir m), Hindu 1957, Zealanders W.K.A.",O O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O
Tyndale-Biscoe first ascent Buni Zom razorlike north,O O O B-MOUNTAIN I-MOUNTAIN O O
Nevado Sajama saˈxama]; Xaña) highest peak Bolivia.,B-MOUNTAIN I-MOUNTAIN O O O O O
Ghamubar Zom گموبر Hindu Raj mountain range,B-MOUNTAIN I-MOUNTAIN O O O O O
Singu Chuli (also Fluted Peak) Nepali Himalaya,B-MOUNTAIN I-MOUNTAIN O O O O O
located west Gangapurna Annapurna,O O B-MOUNTAIN B-MOUNTAIN
Singu Chuli ridgeline Tarke going,B-MOUNTAIN I-MOUNTAIN O O O
ridge south Singu Chuli Tharpu,O O B-MOUNTAIN I-MOUNTAIN O
"Taboche (also Tobuche, Tāuje, Tawetse) mountain Khumbu region",B-MOUNTAIN O O O O O O O
Taboche connected Cholatse ridge.,B-MOUNTAIN O B-MOUNTAIN O
Taboche directly across Imja River Ama Dablam villages Dingboche. French expedition led Seigneur Michel.,B-MOUNTAIN O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Location == Cerro el Muerto El Dead One range area Argentina,O O B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O
"Mera Peak section, sub-section Himalaya administratively Nepal's Sagarmatha",B-MOUNTAIN I-MOUNTAIN O O O O O O
Hiunchuli (Nepali: peak Annapurna massif Province north-central,B-MOUNTAIN O O B-MOUNTAIN O O O
mountain Annapurna South.,O B-MOUNTAIN I-MOUNTAIN
Machapuchare narrow section Khola valley Annapurna Hiunchuli climbed October 1971 led U.S.,B-MOUNTAIN O O O O B-MOUNTAIN B-MOUNTAIN O O O O O
"Cholatse (Nepali: चोलात्से), also Lhaptshan, Khumbu Himalaya.",B-MOUNTAIN O O O O O O
"Cholatse connected Taboche (6,501m) Chola glacier descending",B-MOUNTAIN O B-MOUNTAIN O O O O
"north east Cholatse Mount Everest base camp. pass east, Tibetan 'la' peak Cholatse literally pass pe",O O B-MOUNTAIN B-MOUNTAIN I-MOUNTAIN O O O O O O O B-MOUNTAIN O O O
"Illimani (Aymara pronunciation: [iʎiˈmani]) Cordillera Real Oriental, subrange Andes)",B-MOUNTAIN O O O O O O O O
"second highest peak Nevado Sajama, eighteenth South",O O O B-MOUNTAIN I-MOUNTAIN O O
"Ancohuma Janq'u uma water, water"", also spelled spellings, Uma, Jankhouma) highest Bolivia Illimani).",B-MOUNTAIN O O O O O O O O O O O B-MOUNTAIN
"lies south slightly Illampu, near town Despite Illampu, Ancohuma less easier c",O O O B-MOUNTAIN O O O B-MOUNTAIN B-MOUNTAIN O O O
Coropuna compound located southeast-central Peru.,B-MOUNTAIN O O O O
"upper Coropuna several conical summits, lending name Coropuna",O B-MOUNTAIN O O O O O B-MOUNTAIN
makes Coropuna complex,O B-MOUNTAIN O
Antofalla volcano Catamarca Province.,B-MOUNTAIN O O O
Antofalla forms behind main arc.,B-MOUNTAIN O O O O
Antofalla remote volcano. Antofalla Andean form Nazca South,B-MOUNTAIN O O B-MOUNTAIN O O O O
Antofalla volcano,B-MOUNTAIN O
"Kang Yatze Yatse 6,400 (21,000 mountain located end Markha region India.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
"National Park. mountain lower western (Kang Yatze (Alpine PD) frequently climbed, although 6200m.",O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
eastern peak (Kang Yatze I) less climbed across,O O B-MOUNTAIN I-MOUNTAIN O O O O
"Huandoy Quechua carry, carry load) Quechua rustic cooking-fire, rahu snow, mountain located inside Huascarán National Peru.",B-MOUNTAIN O O O O O O O O O O O O O O O
Ausangate Auzangate mountain mountain Andes Peru.,B-MOUNTAIN O O O O O
"Chapaev Peak romanized: also Peak, 6371m mountain Tian Shan.",B-MOUNTAIN I-MOUNTAIN O O O O O O O
located east Khan Tengri 3.28 km ridge. Russian Red Vasily first climbed 1937,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Illampu fourth mountain,B-MOUNTAIN O O
"located Illampu-Janq'u Uma massif, 17th highest lower Janq'u Uma, Illampu peak, relief,",O O O O O O O O O B-MOUNTAIN O O
"Kusum Kusum Kangguru, Kangru, Kusum Kusum Karda Kanguru) Region Himalayas Nepal.",O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
"fourth important peak among group five separate Kailash Kailashas"", Mount Kailash first Adi Kailash second, Shikhar",O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O
"Parinaquta refer Parinaquta Peru Parinaquta (Chucuito), lake Peru",B-MOUNTAIN O B-MOUNTAIN O B-MOUNTAIN O O O
Siula Grande Huayhuash mountain Peruvian,B-MOUNTAIN I-MOUNTAIN O O O
"6,344 (20,814 high Siula 6,260 (20,540 ft) Void Siula Grande Joe Simon Yates.",O O O O O O O O B-MOUNTAIN I-MOUNTAIN O O O
Bamba Dhura mountain peak Pithoragarh India.,B-MOUNTAIN I-MOUNTAIN O O O O
"metres Bamba Dhura situated north west end Glacier eastern district, Milam Glacier.",O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Bamba Dhura massif part divide,B-MOUNTAIN I-MOUNTAIN O O O
"Ampato Quechua hamp'atu Aymara dormant (20,630 stratovolcano Andes Peru.",B-MOUNTAIN O O O O O O O O
"(43–47 mi) northwest north-south chain includes volcanoes Hualca Hualca Sabancaya, Ampato consists volcanic cones, top eroded",O O O O O O O B-MOUNTAIN I-MOUNTAIN O B-MOUNTAIN O O O O O
"Amne Machin, Anyi Machen, Maqên highest peak range name southeast",B-MOUNTAIN I-MOUNTAIN O O O O O O O O
revered Buddhism indigenous deity Machen Pomra. Amne Machin eastern extension major mountain system,O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O
Amne Machin general northwest-to-southeast eastern Qinghai Autono,B-MOUNTAIN I-MOUNTAIN O O O O O
"Pomerape lying Chile (Oruro Department, Sajama Province, Municipality).",B-MOUNTAIN O O O O O O O
"glaciers metres (17,400–19,000 lower northern Pomerape domes, accompanied lava flows",O O O O O B-MOUNTAIN O O O O
"Salcantay, (in highest Vilcabamba mountain range, Andes.",B-MOUNTAIN O O O O O O
Chimborazo (Spanish pronunciation: stratovolcano situated Ecuador Andes.,B-MOUNTAIN O O O O O O
Mount Siguniang 四姑娘山; pinyin: lit.,B-MOUNTAIN I-MOUNTAIN O O O
"located bordering Siguniangshan Xiaojin Wenchuan Tibetan Prefecture, Province. Mount Siguniang renowned",O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
Mount Siguniang Park,B-MOUNTAIN I-MOUNTAIN O
"Yuzhu Peak 玉珠峰), also Gangri mountain Province,",B-MOUNTAIN I-MOUNTAIN O O O O O
Kongde Ri Kwangde mountain Himalayas eastern,B-MOUNTAIN I-MOUNTAIN O O O O
Aucanquilcha massive located Region west border within Alto Loa,B-MOUNTAIN O O O O O O O O
volcano larger cluster known Aucanquilcha,O O O O B-MOUNTAIN
"Imja Tse, better Island National Park Himalayas Nepal.",B-MOUNTAIN I-MOUNTAIN O O O O O O
peak named Island British Mount Everest expedition appears sea,O O O O B-MOUNTAIN I-MOUNTAIN O O O
1983 Imja Tse Island Peak remains popular,O B-MOUNTAIN I-MOUNTAIN O O O O
peak actually end Lhotse Shar. summit Imja Tse w,O O O B-MOUNTAIN O O B-MOUNTAIN I-MOUNTAIN O
"Stok Kangri (6,153 metres (20,187 highest mountain Zazkar mountain India.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O
"located National km southwest (3,610 (11,844 Stok 15 city Leh, capital Ladakh. altitude, Stok Kangri popular non-technical foray high alt",O O O O O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O
Lobuche spelt Nepalese Khumbu Glacier settlement Lobuche.,B-MOUNTAIN O O O O O B-MOUNTAIN
main Lobuche East Lobuche West.,O B-MOUNTAIN O B-MOUNTAIN O
"permit climb required Association (NMA), classifies Lobuche ""trekking peak"" Lobuche ""expedition",O O O O O O B-MOUNTAIN O O B-MOUNTAIN O
"Marmolejo 6,108 ft) high Pleistocene Andes border",B-MOUNTAIN O O O O O O
"9 km mi) San José volcano, 6,000 (19,685 world.",O O O B-MOUNTAIN I-MOUNTAIN O O O O
Laila Peak چوٹی) mountain located near Glacier Karakoram.,B-MOUNTAIN I-MOUNTAIN O O O O O O
"Situated Gilgit-Baltistan region Laila Peak elevation (20,000",O O O B-MOUNTAIN I-MOUNTAIN O O
"northwest face slope 45 meters. Laila Peak successfully climbed Simon Yates, among others.",O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
"Pisang Peak (Jong Ri) pyramidal peak Pisang, Annapurna within northern",B-MOUNTAIN I-MOUNTAIN O O O O O B-MOUNTAIN O O
climbed German Expedition Pisang Peak Pisang Peak Nepal Mountaineering Association,O O O B-MOUNTAIN I-MOUNTAIN B-MOUNTAIN I-MOUNTAIN O O O
Huayna Potosí mountain El north Paz Cordillera Real. Huayna Potosí closest mountain Paz.,B-MOUNTAIN I-MOUNTAIN O O O O O O B-MOUNTAIN I-MOUNTAIN O O O
Aracar large conical northwestern east,B-MOUNTAIN O O O O
Chachani volcanic group southern mi) city Arequipa.,B-MOUNTAIN O O O O O O
"Chachani caldera. early produced ignimbrites La Joya, Arequipa Airport",B-MOUNTAIN O O O O O O O O
Mianzimu (缅茨姆) summit Meili Xue,B-MOUNTAIN O O O O
Acotango central highest group stratovolcanoes,B-MOUNTAIN O O O O
"Kimsa Chata consists mountains: Acotango, Umurata metres north metres ft)) south along north–south alignment.",O O O O B-MOUNTAIN O O O O O O O O O
"Acotango lava flow flank morphologically young, suggesting Acotango",B-MOUNTAIN O O O O O O B-MOUNTAIN
Socompa stratovolcano (composite volcano) Chile.,B-MOUNTAIN O O O O
"Socompa Volcanic one segments AVB, contains volcanoes.",B-MOUNTAIN O O O O O O
Socompa lies pass railway,B-MOUNTAIN O O O
"Minglik Sar سر) mountain located valley Gilgit-Baltistan,",B-MOUNTAIN I-MOUNTAIN O O O O O
K2 located eastern,B-MOUNTAIN O O
Acamarachi known Pili) ft) high volcano,B-MOUNTAIN O O O O O
Old area dry Acamarachi cone-shaped flanks dome northern side.,O O O B-MOUNTAIN O O O O O
Shayaz Hindu Kush mountain,B-MOUNTAIN O O O
"Hualca Hualca (19,767 high extinct Andes Peru.",B-MOUNTAIN I-MOUNTAIN O O O O O
"lies Arequipa north–south chain Ampato Sabancaya, last historically active.",O O O O B-MOUNTAIN O O O O
"Mitre Peak refer to: Mitre Peak, New (1692 Mitre Peak, See also New m)",B-MOUNTAIN I-MOUNTAIN O O B-MOUNTAIN I-MOUNTAIN O O B-MOUNTAIN I-MOUNTAIN O O O O
"peaks named Laila Peak. Laila Peak (Hushe Valley, Laila Peak (Haramosh Valley) (6985m) Valley, Chogurunma Glacier), Laila Peak Rupal Valley, Himalaya. Laila Peak (Caucasus) (approx.",O O B-MOUNTAIN I-MOUNTAIN B-MOUNTAIN I-MOUNTAIN O O B-MOUNTAIN I-MOUNTAIN O O O O O O B-MOUNTAIN I-MOUNTAIN O O O B-MOUNTAIN I-MOUNTAIN O O
Mount Logan highest Canada second-highest peak America,B-MOUNTAIN I-MOUNTAIN O O O O O
Mount Logan located within Kluane Reserve km mi) north border.,B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Mount Logan source Logan,B-MOUNTAIN I-MOUNTAIN O O
"Alpamayo (possibly Quechua allpa river, ""earth river"") Shuyturaju Ancash Quechua oblong, slim long, ice, covered conspicuous Blanca",B-MOUNTAIN O O O O O O O O O O O O O O O O
"Alpamayo Creek Alpamayo lies next slightly higher ""Alpinismus"", photo Alpamayo taken American Lei",B-MOUNTAIN O B-MOUNTAIN O O O O O O B-MOUNTAIN O O O
Cerro Lípez (also Cerro Lipez) stratovolcano Sud southwestern Bolivia.,B-MOUNTAIN I-MOUNTAIN O O O O O O O
"Licancabur (Spanish 5,916-metre-high (19,409 ft) stratovolcano Bolivia–Chile Andes.",B-MOUNTAIN O O O O O O O
"400–500-metre ft) summit containing Licancabur lake highest lakes world,",O O O O B-MOUNTAIN O O O O
"Falak Sher may refer Falak Sar (Swat), mountain Falak (born former Pakistan former High",O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
"Cotopaxi (Spanish [kotoˈpaksi]) stratovolcano Andes Cotopaxi Province, 50 km (31 31 km northeast Latacunga, Ecuador.",B-MOUNTAIN O O O O B-MOUNTAIN O O O O O O O O O
"second summit (after Chimborazo), reaching 5,897",O O O B-MOUNTAIN O O
Cotopaxi volcanoes world. Cotopaxi known erupted 87 creation valle,B-MOUNTAIN O O B-MOUNTAIN O O O O O
Mount Kilimanjaro () massive volcano,B-MOUNTAIN I-MOUNTAIN O O O
Hkakabo Razi [kʰàkàbò ɹàzì]; simplified 开加博峰; 開加博峯; pinyin: Kāijiābó Fēng) believed,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
"San José (Spanish Joseph) often refers San Jose, United San José, Costa Rica, nation's San José San refer to: Argentina San José, Buenos San José (Buenos San José vieja Aires Underground), ghost San José, Santa María, Catamarca San José, Entre San José Buenos Aires San José Feliciano, San José de",B-MOUNTAIN I-MOUNTAIN O O O O O O O B-MOUNTAIN I-MOUNTAIN O O O B-MOUNTAIN I-MOUNTAIN O O O O B-MOUNTAIN I-MOUNTAIN O B-MOUNTAIN I-MOUNTAIN O B-MOUNTAIN I-MOUNTAIN O O O O B-MOUNTAIN I-MOUNTAIN O O O B-MOUNTAIN I-MOUNTAIN O B-MOUNTAIN I-MOUNTAIN O O B-MOUNTAIN I-MOUNTAIN O B-MOUNTAIN I-MOUNTAIN O
"western Xinjiang part Qinghai Xinjiang Gansu Altun Shan also (19,130 ft) mountain near eastern end point Etymology means Mountain Turkic,",O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
"Cayambe to: Cayambe stratovolcano Cordillera Ecuadorian Cayambe, Ecuador, located volcano Cayambe Canton, governed",B-MOUNTAIN O B-MOUNTAIN O O O B-MOUNTAIN O O O B-MOUNTAIN O O
"Pico Cristóbal Colón highest height metres (18,947 ft).",B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O
Pico Cristóbal Colón Simón highest almost equal elevation.,B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O
"peak higher Cayambe, 1,288 mi)",O O B-MOUNTAIN O O
"Antisana northern Andes,",B-MOUNTAIN O O
"fourth volcano 5,753 metres (18,875 located mi) SE Antisana presents challenging technical Ecuadorian",O O O O O O O O B-MOUNTAIN O O O O
"Next Pichincha, Cotopaxi, Tungurahua Chimborazo, Antisana belongs volcanic mountains Prussian-born Humboldt Amer",O B-MOUNTAIN B-MOUNTAIN B-MOUNTAIN B-MOUNTAIN B-MOUNTAIN O O O O O O
Nevado Anallajsi Bolivia.,B-MOUNTAIN I-MOUNTAIN O
Pokalde Peak (or Dolma Nepal 12 km Mount Everest.,B-MOUNTAIN O O O O O O B-MOUNTAIN I-MOUNTAIN
Pokalde Peak shortest easiest Region.,B-MOUNTAIN O O O O
"Ubinas Moquegua Region southern Peru, approximately (37 mi)",B-MOUNTAIN O O O O O O O
"summit, Ubinas shape upwards-steepening notch",O B-MOUNTAIN O O O
"Pichu Pichu inactive volcano Andes Peru, seven highest height",B-MOUNTAIN I-MOUNTAIN O O O O O O O
east city Arequipa together Misti Chachani Zone,O O O O O B-MOUNTAIN O
Pichu Pichu many millions years producing andesitic composition.,B-MOUNTAIN I-MOUNTAIN O O O O O O
Mount Elbrus highest mountain,B-MOUNTAIN I-MOUNTAIN O O
Mehrbani Peak چوٹی) Naltar District Gilgit–Baltistan territory Pakistan.,B-MOUNTAIN I-MOUNTAIN O O O O O O
"lies northwest Naltar Peak m) Snow Dome peak (there another, higher Snow Dome Concordia).",O O B-MOUNTAIN I-MOUNTAIN O B-MOUNTAIN I-MOUNTAIN O O O O B-MOUNTAIN I-MOUNTAIN O
"Pico de Orizaba, also (from Nahuatl mountain), active volcano, highest Mexico third North America, Denali Mount Logan",B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O B-MOUNTAIN I-MOUNTAIN
Pico de Orizaba also highest America.,B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O
"Mount Damavand دماوند [dæmɒːvænd] ) dormant stratovolcano Western Asia, highest Asia, 3rd volcano Mount Kilimanjaro Mount Elbrus), elevation ft).",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O B-MOUNTAIN I-MOUNTAIN B-MOUNTAIN I-MOUNTAIN O O
"Jade Dragon Snow Mountain traditional Chinese: Yùlóng Xuěshān; Ngv'lv bbei jjuq) mountain massif small range Naxi Lijiang, Yunnan",B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O
"peak named Shanzidou Shan-Tzu-tou Etymology Chinese Xuěshān, Jade Dragon Snow Mountain; sometimes translated Mount Yulong",O O O O O O O B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O
Kala Patthar काला 'black landmark located south ridge Pumori Gorakshep.,B-MOUNTAIN I-MOUNTAIN O O O O O O B-MOUNTAIN O
"Although proper mountain, prominence Kala Patthar trekkers Mount Everest since accessible closeup Everest.",O O O O B-MOUNTAIN I-MOUNTAIN O B-MOUNTAIN I-MOUNTAIN O O O O
Due Everest high blocked Nuptse surrounding v,O O O O B-MOUNTAIN O O
"Mount Saint Elias designated Boundary 186), second-highest Canada Yukon Alaska border 26 miles southwest Mount Logan, Canada.",B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
Canadian side Mount Saint Elias forms Kluane National,O O B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O
"Concord Peak mountain Pamirs, Afghan-Tajik border, km Lake Zorkul.",B-MOUNTAIN I-MOUNTAIN O O O O O O O
"Dindaw Razi (Burmese: Burma's mountains, 5,464 highest mountains South East",B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Cerro El Plomo mountain near Chile.,B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O
"Peak Bogda Feng 博格达峰; pinyin: sometimes referred Bogda) Bogda range, eastern Tian 5,445 (17,864 5,000 (16,400 ft) higher peak",O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O O O
Mount Little Xuebaoding 雪宝顶; lit.,B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O
"Cerro El Plomo near Santiago, Chile.",B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O
"Popocatépetl (UK: POP-ə-KAT-ə-pet-əl, -⁠kat-ə-PET-əl, Spanish: ; Nahuatl active stratovolcano states Mexico central",B-MOUNTAIN O O O O O O O O O O O
"5,393 ft) peak Mexico, Citlaltépetl (Pico de Orizaba) 5,636 linked Iztaccihuatl",O O O O O B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O
"Kolahoi Peak (locally Illuminated Cat) mountain elevation (17,799 located Lidder Kashmir.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Kolahoi Peak easily Aru,B-MOUNTAIN I-MOUNTAIN O O
Kolahoi Peak part Himalayan located 16 km,B-MOUNTAIN I-MOUNTAIN O O O O O
"Chacaltaya language ""winds meeting point"", road"") mountain one mountain ranges Oriental, Andes.",B-MOUNTAIN O O O O O O O O O O O
"Mount Pomiu mountain mountain 5413 (17,759 Celestial Peak, found (Signuniang) Reserve. highest mountain Nature Reserve (Mount Siguniang), 6,240–6,250 Notable ascents First ascent Allen companion. Second ascent Keith Brown, new 2005 – South ridge",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O O O
"Ritacuba Blanco peak Oriental, Andes Colombia.",B-MOUNTAIN I-MOUNTAIN O O O O
"also Ritak'uwa, ancient name indigenous Nevada del Cocuy Ritacuba Blanco located.",O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
"Nevado del Ruiz pronunciation: La de (English: Mesa name nearby volcano Caldas Colombia, highest point both.",B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O
Volcanic Nevado del Ruiz began,O B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O
"Nevado del Huila Spanish pronunciation: ðel ˈwila]) 5,364 (17,598 located departments Huila, Cauca.",B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O O O O
"El Altar (possibly Kichwa principal, / mountain) Sangay National Ecuador, 170 km (110 mi) south Quito, (17,451 ft).",B-MOUNTAIN I-MOUNTAIN O O O O O B-MOUNTAIN O O O O O O O O O O
older English sources El Altar large stratovolcano Pliocene-Plei,O O O B-MOUNTAIN I-MOUNTAIN O O O
"Mount Foraker (5,304 mountain Alaska Range, 14 (23 km) Denali.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O
"directly standard Denali, Kahiltna near Mount Hunter Alaska Range. peak climbed 6, 1934, higher south peak four",O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O
"Nevado del Tolima Late located Tolima department, Colombia.",B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O
lies Nevado del Ruiz situated within Los Nevados Natural,O B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O
"volcano, whose last eruption years ago, overlies Eocene El ± 1.7 steep-sided, Nevado del Tolima volcano contrasts wi",O O O O O O O O O O O O B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O
"Maipo may Maipo, town San José Maipo, town Chile Maipo (volcano), volcano border Argentina Maipo river west Maipo volcano flows Santiago Metropolitan Maipo province Chile Maipo Maipo MS Maipo, cruise sunk USNS General M.",B-MOUNTAIN O B-MOUNTAIN O B-MOUNTAIN I-MOUNTAIN B-MOUNTAIN O O B-MOUNTAIN O O O O B-MOUNTAIN O O B-MOUNTAIN O O O O B-MOUNTAIN O O B-MOUNTAIN B-MOUNTAIN O B-MOUNTAIN O O O O O
"mountains located north Cotopaxi, Ecuador.",O O O B-MOUNTAIN O
"peaks among Ecuador, Illiniza Illiniza Norte, counterpart, 5245 metres 5126 respectively. Lonel",O O O B-MOUNTAIN B-MOUNTAIN O O O O O O O
Point 5240 Point 5245) situated Line facto dividing Indian- portions Ladakh Kargil district.,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
"Sirbal Peak peak 5,235 Ganderbal union territory Jammu Kashmir, vicinity",B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Sirbal Peak Himalaya located Sonamarg,B-MOUNTAIN I-MOUNTAIN O O O
Sirbal Peak lies 6 Zojila.,B-MOUNTAIN I-MOUNTAIN O O O
"Sangay known Sanagay, active stratovolcano Ecuador.",B-MOUNTAIN O O O O O
"Geologically, Sangay marks southern boundary Northern position two major accounts",O B-MOUNTAIN O O O O O O O O
"Iztaccíhuatl Ixtaccíhuatl forms also without pronunciation: [istakˈsiwat͡ɬ] or, ft) volcanic located Puebla within Izta-Popo Zoquiapan National Park.",B-MOUNTAIN O O O O O O O O O O O O O O O O
"highest, Pico de Orizaba 5,636 (18,491 Popocatépetl 5,426 name ""Iztaccíhuatl"" Nahuatl (like",O B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O B-MOUNTAIN O O B-MOUNTAIN O O
"Mount Lucania third-highest mountain (5240 mountain located entirely summit Mount Saint Elias, Canada's peak, state Alaska).",B-MOUNTAIN I-MOUNTAIN O O O O O O O B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O
"long ridge connects Mount Lucania Mount Steele [16,644 Canada.",O O O B-MOUNTAIN I-MOUNTAIN B-MOUNTAIN I-MOUNTAIN O O
Lucania Duke stood summit Mount Saint Elias completed firs,O O O O B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O
"Karakol Peak Пик Karakol, romanized: çokusu) mountain Terskey Ala-too Tian Shan.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Issyk-Kul east Karakol Peak located Terskey Alatau range Tian,O O B-MOUNTAIN I-MOUNTAIN O O O O O
"Dykh-Tau Karachay-Balkar: тау derived Turkic ""dik dagh"" Jagged Mount), mountain Russia 5,205 ft)",B-MOUNTAIN O O O O O O O O O O O O
"Kabardino-Balkaria, peak 5 km (3 Georgia. Dykh-Tau accessed north (Russia).",O O O O O O B-MOUNTAIN O O O
Shkhara (Georgian: შხარა) highest,B-MOUNTAIN O O O
Shkhara Mountain Range since Elbrus located along north Greater Caucasus,B-MOUNTAIN O O O O O O O O O
"Shkhara lies north city Kutaisi, Georgia's",B-MOUNTAIN O O O O O
"Mount Kenya (Meru: Kikuyu: Kamba: Ki nyaa, Embu: nyaga) second-highest Kilimanjaro.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
"Mount Kenya located former peak intersection Meru, Embu, Nithi 16.5 kilom",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Malika Parbat ملکہ پربت; Queen,B-MOUNTAIN I-MOUNTAIN O O O
Malika Parbat Saiful Muluk Chitta glacier.,B-MOUNTAIN I-MOUNTAIN O O O O
"Amarnath Peak peak 5,186 metres Ganderbal Indian union Jammu vicinity",B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Amarnath Peak part located south west,B-MOUNTAIN I-MOUNTAIN O O O O
